kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
11446443,K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,0.8110,0,0,0,0,2.470613377,2.7000000e-08,-2.7000000e-08,122.7633050,8.700000e-06,-8.700000e-06,0.818,0.001,-0.001,1.74319,0.00107,-0.00107,14230.9,4.200e+00,-4.200e+00,13.04,0.51,-5.100e-01,1339.0,,,761.46,106.21,-95.76,4304.30,1,q1_q17_dr25_tce,5820.00,78.00,-78.00,4.457,0.024,-0.024,0.9640,0.0380,-0.0380,286.808470,49.316399,11.338
10666592,K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,1.0000,0,1,0,0,2.204735417,4.3000000e-08,-4.3000000e-08,121.3585417,1.600000e-05,-1.600000e-05,0.224,0.159,-0.216,3.88864,0.00203,-0.00203,6674.7,1.700e+00,-1.700e+00,16.10,0.81,-9.100e-01,2048.0,,,4148.92,651.59,-654.46,5945.90,1,q1_q17_dr25_tce,6440.00,76.00,-89.00,4.019,0.033,-0.027,1.9520,0.0990,-0.1100,292.247280,47.969521,10.463
10748390,K00003.01,Kepler-3 b,CONFIRMED,CANDIDATE,0.9130,0,0,0,0,4.887803076,4.6600000e-07,-4.6600000e-07,124.8130808,7.510000e-05,-7.510000e-05,0.054,0.145,-0.054,2.36255,0.00466,-0.00466,4315.8,6.100e+00,-6.100e+00,4.82,0.17,-1.800e-01,800.0,,,96.67,14.91,-13.89,862.30,1,q1_q17_dr25_tce,4778.00,86.00,-95.00,4.591,0.015,-0.036,0.7630,0.0280,-0.0280,297.709350,48.080853,9.174
3861595,K00004.01,Kepler-1658 b,CONFIRMED,CANDIDATE,1.0000,0,1,0,0,3.849371737,2.3440000e-06,-2.3440000e-06,157.5266860,4.880000e-04,-4.880000e-04,0.915,0.020,-0.056,2.63200,0.10600,-0.10600,1298.6,1.300e+01,-1.300e+01,12.94,1.80,-4.200e+00,2034.0,,,4055.29,1643.78,-2336.51,132.70,1,q1_q17_dr25_tce,6244.00,126.00,-114.00,3.657,0.270,-0.090,2.9920,0.4160,-0.9710,294.356540,38.947380,11.432
8554498,K00005.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,4.780327581,8.5200000e-07,-8.5200000e-07,132.9740860,1.480000e-04,-1.480000e-04,0.952,0.001,-0.002,2.02530,0.01390,-0.01390,960.8,3.900e+00,-3.900e+00,7.14,0.52,-3.100e-01,1441.0,,,1020.05,223.43,-125.20,380.80,1,q1_q17_dr25_tce,5937.00,83.00,-65.00,4.012,0.030,-0.030,1.7870,0.1320,-0.0760,289.739720,44.647419,11.665
11853905,K00007.01,Kepler-4 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,3.213668926,1.0900000e-06,-1.0900000e-06,123.6118780,2.740000e-04,-2.740000e-04,0.021,0.188,-0.021,3.98235,0.00911,-0.00911,727.8,2.500e+00,-2.500e+00,4.13,0.26,-2.300e-01,1515.0,,,1244.44,229.31,-193.94,346.90,1,q1_q17_dr25_tce,5795.00,69.00,-77.00,4.101,0.033,-0.027,1.5450,0.0970,-0.0870,285.615330,50.135750,12.211
6922244,K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE,0.9980,0,0,0,0,3.522498429,1.9800000e-07,-1.9800000e-07,121.1194228,4.710000e-05,-4.710000e-05,0.631,0.007,-0.007,3.19843,0.00653,-0.00653,9145.7,6.600e+00,-6.600e+00,14.59,1.11,-1.110e+00,1521.0,,,1264.67,307.23,-276.48,1741.50,1,q1_q17_dr25_tce,6225.00,112.00,-137.00,4.169,0.055,-0.045,1.4510,0.1100,-0.1100,281.288120,42.451080,13.563
5812701,K00012.01,Kepler-448 b,CONFIRMED,CANDIDATE,0.6350,0,0,0,0,17.855221681,3.6760000e-06,-3.6760000e-06,146.5964660,1.630000e-04,-1.630000e-04,0.075,0.106,-0.043,7.41287,0.00581,-0.00581,9065.2,1.120e+01,-1.120e+01,13.16,2.57,-6.500e-01,911.0,,,163.04,78.35,-23.38,915.70,1,q1_q17_dr25_tce,6823.00,61.00,-92.00,4.308,0.024,-0.128,1.3670,0.2670,-0.0670,297.453740,41.010990,11.353
9941662,K00013.01,Kepler-13 b,CONFIRMED,CANDIDATE,0.8750,0,1,0,0,1.763587535,4.2000000e-08,-4.2000000e-08,120.5659254,1.990000e-05,-1.990000e-05,0.512,0.007,-0.008,3.16877,0.00290,-0.00290,4590.6,1.500e+00,-1.500e+00,21.42,6.33,-9.480e+00,3559.0,,,37958.27,32770.23,-28302.96,4061.90,1,q1_q17_dr25_tce,9107.00,242.00,-443.00,3.867,0.343,-0.147,3.0310,0.8950,-1.3420,286.971190,46.868359,9.958
10874614,K00017.01,Kepler-6 b,CONFIRMED,CANDIDATE,0.9870,0,0,0,0,3.234699282,1.1900000e-07,-1.1900000e-07,121.4865708,2.920000e-05,-2.920000e-05,0.079,0.003,-0.058,3.59385,0.00078,-0.00078,10558.7,4.200e+00,-4.200e+00,13.06,0.96,-9.600e-01,1356.0,,,797.62,197.63,-160.80,3003.80,1,q1_q17_dr25_tce,5640.00,113.00,-101.00,4.236,0.055,-0.045,1.2910,0.0950,-0.0950,296.837250,48.239944,13.303
8191672,K00018.01,Kepler-5 b,CONFIRMED,CANDIDATE,0.7540,0,1,0,0,3.548465446,1.8300000e-07,-1.8300000e-07,122.9014315,4.260000e-05,-4.260000e-05,0.075,0.013,-0.053,4.56904,0.00118,-0.00118,7251.5,3.300e+00,-3.300e+00,14.92,1.08,-1.310e+00,1640.0,,,1708.28,416.27,-397.63,2486.50,1,q1_q17_dr25_tce,6290.00,125.00,-125.00,4.074,0.050,-0.050,1.7460,0.1260,-0.1540,299.407010,44.035053,13.369
11804465,K00020.01,Kepler-12 b,CONFIRMED,CANDIDATE,0.7610,0,0,0,0,4.437962934,1.7100000e-07,-1.7100000e-07,171.0091259,2.880000e-05,-2.880000e-05,0.069,0.007,-0.050,4.69813,0.00079,-0.00079,16387.6,5.300e+00,-5.300e+00,18.05,2.92,-3.570e+00,1338.0,,,757.65,339.17,-311.08,3535.60,1,q1_q17_dr25_tce,5953.00,105.00,-129.00,4.175,0.168,-0.112,1.4150,0.2290,-0.2800,286.243440,50.040379,13.438
9631995,K00022.01,Kepler-422 b,CONFIRMED,CANDIDATE,0.9880,0,0,0,0,7.891448838,5.0600000e-07,-5.0600000e-07,177.2499624,5.030000e-05,-5.030000e-05,0.306,0.022,-0.028,4.28540,0.00697,-0.00697,10344.6,6.900e+00,-6.900e+00,12.63,2.13,-1.420e+00,1028.0,,,263.54,114.26,-67.34,1955.10,1,q1_q17_dr25_tce,5972.00,72.00,-84.00,4.313,0.095,-0.116,1.2370,0.2090,-0.1390,282.629670,46.323360,13.435
6521045,K00041.01,Kepler-100 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,12.815904210,1.9450000e-05,-1.9450000e-05,122.9468200,1.190000e-03,-1.190000e-03,0.580,0.005,-0.486,6.38560,0.04380,-0.04380,220.5,2.200e+00,-2.200e+00,2.26,0.15,-1.200e-01,939.0,,,183.68,35.61,-27.85,106.70,1,q1_q17_dr25_tce,5788.00,78.00,-78.00,4.122,0.033,-0.027,1.4740,0.0940,-0.0790,291.385990,41.990269,11.197
6521045,K00041.02,Kepler-100 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,6.887070730,2.2770000e-05,-2.2770000e-05,133.1779700,2.680000e-03,-2.680000e-03,0.696,0.029,-0.508,4.46790,0.07570,-0.07570,68.7,2.000e+00,-2.000e+00,1.30,0.08,-7.000e-02,1155.0,,,420.97,81.61,-63.83,38.20,2,q1_q17_dr25_tce,5788.00,78.00,-78.00,4.122,0.033,-0.027,1.4740,0.0940,-0.0790,291.385990,41.990269,11.197
6521045,K00041.03,Kepler-100 d,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,35.333193200,2.2480000e-04,-2.2480000e-04,153.9824900,4.890000e-03,-4.890000e-03,0.656,0.270,-0.433,5.96600,0.12800,-0.12800,99.7,3.600e+00,-3.600e+00,1.55,0.10,-8.000e-02,670.0,,,47.52,9.21,-7.21,28.80,3,q1_q17_dr25_tce,5788.00,78.00,-78.00,4.122,0.033,-0.027,1.4740,0.0940,-0.0790,291.385990,41.990269,11.197
8866102,K00042.01,Kepler-410 A b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,17.833678340,1.3850000e-05,-1.3850000e-05,181.2339430,6.030000e-04,-6.030000e-04,0.013,0.278,-0.013,4.51120,0.01950,-0.01950,326.9,2.400e+00,-2.400e+00,2.43,0.12,-1.400e-01,866.0,,,132.94,20.74,-20.33,154.50,1,q1_q17_dr25_tce,6407.00,76.00,-83.00,4.268,0.030,-0.030,1.3370,0.0670,-0.0740,283.150700,45.139832,9.364
10905239,K00046.01,Kepler-101 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,3.487688776,1.1050000e-06,-1.1050000e-06,170.9322170,2.530000e-04,-2.530000e-04,0.026,0.205,-0.026,3.83661,0.00947,-0.00947,1298.8,4.100e+00,-4.100e+00,5.64,0.83,-1.350e+00,1445.0,,,1033.07,439.91,-478.15,350.60,1,q1_q17_dr25_tce,5576.00,112.00,-101.00,4.065,0.196,-0.084,1.5930,0.2350,-0.3820,283.255490,48.355232,13.770
10905239,K00046.02,Kepler-101 c,CONFIRMED,CANDIDATE,0.9170,0,0,0,0,6.029772410,6.2640000e-05,-6.2640000e-05,132.4816200,7.570000e-03,-7.570000e-03,0.379,0.088,-0.379,3.96100,0.22900,-0.22900,54.6,5.100e+00,-5.100e+00,1.18,0.17,-2.900e-01,1204.0,,,496.46,211.41,-229.78,11.50,2,q1_q17_dr25_tce,5576.00,112.00,-101.00,4.065,0.196,-0.084,1.5930,0.2350,-0.3820,283.255490,48.355232,13.770
9527334,K00049.01,Kepler-461 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,8.313773040,4.2060000e-05,-4.2060000e-05,175.9913700,4.020000e-03,-4.020000e-03,0.002,0.432,-0.002,2.96400,0.12500,-0.12500,837.4,4.910e+01,-4.910e+01,2.74,0.43,-1.300e-01,886.0,,,145.51,64.54,-23.61,19.60,1,q1_q17_dr25_tce,5900.00,105.00,-117.00,4.509,0.021,-0.119,0.9510,0.1520,-0.0450,292.249020,46.164822,13.704
